	group	libsize	has_program	program_usage	is_doublet	group2
Cell1	4	2623.1182355061837	False	0.0	False	-1
Cell2	5	1623.8336139366068	False	0.0	False	-1
Cell3	6	2222.490202219741	False	0.0	False	-1
Cell4	1	3213.5961311296055	True	0.2626988337274063	False	-1
Cell5	2	2396.5135889330368	True	0.12764108041397185	False	-1
Cell6	6	8538.336526303394	False	0.0	False	-1
Cell7	4	15095.902234455198	False	0.0	False	-1
Cell8	2	2575.112804115906	False	0.0	False	-1
Cell9	4	3331.594219195773	False	0.0	True	6
Cell10	2	889.6777626018135	False	0.0	False	-1
Cell11	5	734.7117721608191	False	0.0	False	-1
Cell12	3	609.9592777769051	True	0.3044451333723917	False	-1
Cell13	4	1063.3460187051319	False	0.0	False	-1
Cell14	1	631.2417422048352	False	0.0	False	-1
Cell15	5	1090.126482886514	False	0.0	False	-1
Cell16	2	1477.6495266249299	False	0.0	True	3
Cell17	6	2675.1082581234655	False	0.0	False	-1
Cell18	3	1230.5448282517586	False	0.0	False	-1
Cell19	5	1107.3232495138764	False	0.0	False	-1
Cell20	5	1461.870798917595	False	0.0	False	-1
Cell21	6	2758.575584536941	False	0.0	False	-1
Cell22	1	635.2090367283615	True	0.5885357783792535	False	-1
Cell23	2	2519.2374764298743	False	0.0	False	-1
Cell24	3	1024.7308368880028	False	0.0	False	-1
Cell25	5	937.9020813230828	False	0.0	False	-1
Cell26	2	3437.3048979873256	True	0.40342963300952106	False	-1
Cell27	5	2745.541046382012	False	0.0	False	-1
Cell28	4	5281.351184557916	False	0.0	False	-1
Cell29	2	5991.594504519835	True	0.5360002147153239	False	-1
Cell30	2	1541.6780472056137	True	0.639943486533034	False	-1
Cell31	6	558.4374098980422	False	0.0	False	-1
Cell32	1	2501.92176172334	True	0.6187160700094647	False	-1
Cell33	5	1201.6225696702202	False	0.0	False	-1
Cell34	1	3290.402334534462	True	0.3249209325244399	False	-1
Cell35	5	2957.9982114549725	False	0.0	False	-1
Cell36	5	870.8010330485316	False	0.0	False	-1
Cell37	3	606.9854915585197	False	0.0	False	-1
Cell38	6	1954.8461047327794	False	0.0	False	-1
Cell39	3	1082.2708125686859	True	0.12758219180606775	False	-1
Cell40	2	3796.4710599749096	False	0.0	False	-1
Cell41	3	1220.540055311858	True	0.5968350716057956	False	-1
Cell42	5	9440.914496638481	False	0.0	False	-1
Cell43	3	2207.8073447441625	False	0.0	False	-1
Cell44	1	2097.925634316605	False	0.0	False	-1
Cell45	2	5492.325334602155	False	0.0	False	-1
Cell46	6	10840.03629990317	False	0.0	False	-1
Cell47	2	2289.0717974890335	True	0.34540997119002187	False	-1
Cell48	3	4096.517799966453	True	0.2955224688088375	False	-1
Cell49	5	1932.7493373641526	False	0.0	False	-1
Cell50	6	1150.6511637445524	False	0.0	False	-1
Cell51	2	3163.9474726851727	True	0.2167986399298345	False	-1
Cell52	2	5648.572471322161	False	0.0	False	-1
Cell53	1	991.4971193070462	False	0.0	False	-1
Cell54	2	784.5250665497155	False	0.0	False	-1
Cell55	6	1634.9436926202684	False	0.0	False	-1
Cell56	2	2761.699447640403	False	0.0	False	-1
Cell57	1	1274.438537320154	False	0.0	False	-1
Cell58	4	2583.822978441613	False	0.0	False	-1
Cell59	3	1148.5468170119052	True	0.21440612588336816	False	-1
Cell60	5	2316.724814902893	False	0.0	False	-1
Cell61	4	5756.1816414006635	False	0.0	False	-1
Cell62	4	3346.878041717489	False	0.0	False	-1
Cell63	1	1828.9461614757442	False	0.0	False	-1
Cell64	4	4352.24729591707	False	0.0	True	5
Cell65	1	3321.667889709521	True	0.618980368455382	False	-1
Cell66	1	1355.580074306251	True	0.31162981228771947	False	-1
Cell67	3	3673.580598310403	True	0.5604286389739885	False	-1
Cell68	3	839.1596791479681	False	0.0	False	-1
Cell69	5	761.2464522910459	False	0.0	False	-1
Cell70	1	1871.9362470493036	False	0.0	False	-1
Cell71	2	2952.1482851183	True	0.6180867032773116	False	-1
Cell72	1	2342.783597786882	True	0.3965319127569421	False	-1
Cell73	4	4103.6869304780985	False	0.0	False	-1
Cell74	4	1823.941029942303	False	0.0	False	-1
Cell75	4	1745.3156049931722	False	0.0	False	-1
Cell76	2	7540.204207918939	False	0.0	False	-1
Cell77	3	2273.300751836782	False	0.0	True	1
Cell78	3	7654.233000360235	False	0.0	False	-1
Cell79	1	1485.162191315335	False	0.0	False	-1
Cell80	4	2198.6697619185634	False	0.0	False	-1
Cell81	2	2056.6001426560747	False	0.0	False	-1
Cell82	1	821.4728035711936	False	0.0	False	-1
Cell83	6	487.8349049920798	False	0.0	False	-1
Cell84	1	1721.2624795382462	False	0.0	False	-1
Cell85	5	3386.236815604763	False	0.0	False	-1
Cell86	4	1869.011847970396	False	0.0	False	-1
Cell87	1	3703.1798196884542	True	0.30291354540840915	False	-1
Cell88	4	1307.071419728938	False	0.0	False	-1
Cell89	3	1079.4221375312786	True	0.3175320171956726	False	-1
Cell90	4	3539.1143891071097	False	0.0	False	-1
Cell91	6	583.2130297686984	False	0.0	False	-1
Cell92	6	3349.368062461468	False	0.0	False	-1
Cell93	4	7346.862283071261	False	0.0	False	-1
Cell94	3	3293.7850260335395	False	0.0	False	-1
Cell95	3	3701.2361458595383	False	0.0	False	-1
Cell96	5	1965.6585485720805	False	0.0	False	-1
Cell97	4	4387.066378190091	False	0.0	False	-1
Cell98	1	2124.2761552447864	False	0.0	False	-1
Cell99	4	4997.985784480153	False	0.0	False	-1
Cell100	6	2261.264324427112	False	0.0	False	-1
Cell101	2	6546.182149585754	False	0.0	False	-1
Cell102	3	1255.0088504878695	False	0.0	False	-1
Cell103	1	1378.7339348997562	True	0.10205377059830244	False	-1
Cell104	5	4976.181869050507	False	0.0	False	-1
Cell105	2	1485.6616819181934	False	0.0	False	-1
Cell106	1	1134.14800499062	False	0.0	False	-1
Cell107	1	4141.268112784192	True	0.5808689572901062	False	-1
Cell108	2	1361.7438821443475	False	0.0	False	-1
Cell109	1	2202.7578886175834	True	0.11699819210733149	False	-1
Cell110	5	3174.9295352461895	False	0.0	False	-1
Cell111	6	2200.7806258362853	False	0.0	False	-1
Cell112	6	1777.8813903472333	False	0.0	False	-1
Cell113	2	4043.3839245034765	True	0.5964420327884024	False	-1
Cell114	3	550.6255263645152	True	0.1065576321305966	False	-1
Cell115	5	6069.242413325341	False	0.0	False	-1
Cell116	4	1156.4045017290946	False	0.0	False	-1
Cell117	2	1545.823732472745	True	0.12742531823346268	False	-1
Cell118	3	1286.342724052956	False	0.0	False	-1
Cell119	6	2746.0181260447	False	0.0	False	-1
Cell120	5	5049.875543224137	False	0.0	False	-1
Cell121	1	1463.9288323223834	False	0.0	False	-1
Cell122	2	737.5322519969599	True	0.22932236960402275	False	-1
Cell123	6	7007.208287158276	False	0.0	False	-1
Cell124	3	4909.294065285585	True	0.5627087880802696	False	-1
Cell125	2	3347.8099548545574	False	0.0	False	-1
Cell126	3	675.9287283064269	True	0.5896642421830085	False	-1
Cell127	3	1759.7502026432026	True	0.620563393070057	False	-1
Cell128	5	2943.534022977535	False	0.0	False	-1
Cell129	1	609.5522259458346	False	0.0	False	-1
Cell130	6	834.0623522626513	False	0.0	False	-1
Cell131	3	653.3495208218042	False	0.0	False	-1
Cell132	3	2969.9317916193313	False	0.0	False	-1
Cell133	1	534.044979479309	False	0.0	False	-1
Cell134	2	1093.4075369022905	False	0.0	True	5
Cell135	6	2985.0639365199536	False	0.0	False	-1
Cell136	3	1357.9380635511138	True	0.19533758435517534	False	-1
Cell137	1	5914.535335862448	False	0.0	False	-1
Cell138	4	3376.3837854809385	False	0.0	False	-1
Cell139	4	3373.390958577617	False	0.0	True	2
Cell140	6	4373.42051868533	False	0.0	False	-1
Cell141	3	2638.6766908073578	True	0.5654781770903741	False	-1
Cell142	6	8532.907002643818	False	0.0	False	-1
Cell143	2	2474.2715100146743	False	0.0	True	2
Cell144	4	3221.7584163890133	False	0.0	False	-1
Cell145	3	4026.412181993014	False	0.0	False	-1
Cell146	2	6061.998679295532	False	0.0	False	-1
Cell147	4	1940.3671945934643	False	0.0	False	-1
Cell148	1	1060.0860135339706	False	0.0	False	-1
Cell149	3	1504.9529835778153	False	0.0	False	-1
Cell150	3	1237.7556958715168	False	0.0	False	-1
Cell151	5	410.28710002191474	False	0.0	False	-1
Cell152	2	6594.7210087705125	False	0.0	False	-1
Cell153	2	6975.851617228099	True	0.6773878223345713	False	-1
Cell154	2	2220.776336818716	False	0.0	False	-1
Cell155	6	3461.842400871257	False	0.0	False	-1
