	BaseGeneMean	is_outlier	outlier_ratio	gene_mean	prog_gene	prog_genemean	group1_DEratio	group1_genemean	group2_DEratio	group2_genemean	group3_DEratio	group3_genemean	group4_DEratio	group4_genemean	group5_DEratio	group5_genemean	group6_DEratio	group6_genemean
Gene1	0.09885066313353179	False	1.0	0.09885066313353179	False	0.09885066313353179	1.0	0.09885066313353179	1.0	0.09885066313353179	2.4691279438638882	0.2440749346124792	1.0	0.09885066313353179	1.0	0.09885066313353179	1.0	0.09885066313353179
Gene2	0.00212113358726753	False	1.0	0.00212113358726753	False	0.00212113358726753	1.0	0.00212113358726753	1.0	0.00212113358726753	1.0	0.00212113358726753	1.0	0.00212113358726753	1.0	0.00212113358726753	1.0	0.00212113358726753
Gene3	0.01881911086002416	False	1.0	0.01881911086002416	False	0.01881911086002416	1.0	0.01881911086002416	1.0	0.01881911086002416	1.0	0.01881911086002416	1.0	0.01881911086002416	1.0	0.01881911086002416	1.0	0.01881911086002416
Gene4	1.592374684902839e-05	False	1.0	1.592374684902839e-05	False	1.592374684902839e-05	1.0	1.592374684902839e-05	1.0	1.592374684902839e-05	1.0	1.592374684902839e-05	1.0	1.592374684902839e-05	1.0	1.592374684902839e-05	1.0	1.592374684902839e-05
Gene5	0.10970022977244762	False	1.0	0.10970022977244762	False	0.10970022977244762	1.0	0.10970022977244762	1.0	0.10970022977244762	1.0	0.10970022977244762	1.0	0.10970022977244762	1.0	0.10970022977244762	1.0	0.10970022977244762
Gene6	0.010513008902674181	False	1.0	0.010513008902674181	False	0.010513008902674181	1.0	0.010513008902674181	1.0	0.010513008902674181	1.0	0.010513008902674181	1.0	0.010513008902674181	1.0	0.010513008902674181	1.0	0.010513008902674181
Gene7	0.0010489083043365428	False	1.0	0.0010489083043365428	False	0.0010489083043365428	1.0	0.0010489083043365428	1.0	0.0010489083043365428	1.0	0.0010489083043365428	1.0	0.0010489083043365428	1.0	0.0010489083043365428	1.0	0.0010489083043365428
Gene8	0.005516891261606363	False	1.0	0.005516891261606363	False	0.005516891261606363	1.0	0.005516891261606363	1.0	0.005516891261606363	1.0	0.005516891261606363	1.0	0.005516891261606363	1.0	0.005516891261606363	1.0	0.005516891261606363
Gene9	0.0013282951983857262	False	1.0	0.0013282951983857262	False	0.0013282951983857262	1.0	0.0013282951983857262	1.0	0.0013282951983857262	1.0	0.0013282951983857262	1.0	0.0013282951983857262	1.0	0.0013282951983857262	1.0	0.0013282951983857262
Gene10	0.15833543307954562	False	1.0	0.15833543307954562	False	0.15833543307954562	1.0	0.15833543307954562	1.0	0.15833543307954562	1.0	0.15833543307954562	1.0	0.15833543307954562	1.0	0.15833543307954562	1.0	0.15833543307954562
Gene11	0.06292572444017364	False	1.0	0.06292572444017364	False	0.06292572444017364	1.0	0.06292572444017364	1.0	0.06292572444017364	1.0	0.06292572444017364	1.0	0.06292572444017364	1.0	0.06292572444017364	1.0	0.06292572444017364
Gene12	0.22548238281742594	False	1.0	0.22548238281742594	False	0.22548238281742594	1.0	0.22548238281742594	1.0	0.22548238281742594	1.0	0.22548238281742594	1.0	0.22548238281742594	1.0	0.22548238281742594	1.0	0.22548238281742594
Gene13	0.0404530591556844	False	1.0	0.0404530591556844	False	0.0404530591556844	1.0	0.0404530591556844	5.959386956728809	0.24107543309216456	1.0	0.0404530591556844	1.0	0.0404530591556844	1.0	0.0404530591556844	1.0	0.0404530591556844
Gene14	0.0058570567504155025	False	1.0	0.0058570567504155025	False	0.0058570567504155025	1.0	0.0058570567504155025	1.0	0.0058570567504155025	1.0	0.0058570567504155025	1.0	0.0058570567504155025	1.0	0.0058570567504155025	1.0	0.0058570567504155025
Gene15	0.053577214248127336	False	1.0	0.053577214248127336	False	0.053577214248127336	1.0	0.053577214248127336	3.1134286998124217	0.16680883649611863	1.0	0.053577214248127336	1.0	0.053577214248127336	1.0	0.053577214248127336	13.673235821428042	0.7325738850698196
