	TSNE1	TSNE2
Cell1	-26.82926970558784	-12.981768583767046
Cell2	5.473052547815032	22.79902105757767
Cell3	-22.220153336952638	11.2762509103836
Cell4	29.34723966729708	3.582170031955684
Cell5	9.972195157957415	-1.7237358796106155
Cell6	-21.07432412007958	13.463080709209407
Cell7	-19.079650694907244	-8.422609513291487
Cell8	5.016923557770653	-0.7203658573515693
Cell9	-16.040105701075188	1.1489412445099183
Cell10	4.141793851356331	1.2829603677263501
Cell11	0.2714408688591052	31.036071010090723
Cell12	14.16909911993121	-19.097674176994175
Cell13	-19.027052021517886	-5.144640450989348
Cell14	28.8671459627912	11.188596869929205
Cell15	6.655512900161159	22.59755050585812
Cell16	11.619189247039428	-3.0409953210927867
Cell17	-22.327954895970162	11.968198696449099
Cell18	2.7837164052510692	-33.774130916594274
Cell19	-1.6075025326185812	25.52670836630887
Cell20	-4.475847501730359	24.163564852741306
Cell21	-20.49419763161321	9.94841618538421
Cell22	29.866415202047904	-4.665662608568993
Cell23	4.7877754211921655	-2.430788128390381
Cell24	2.754829493152146	-34.239734789338655
Cell25	1.7167244510496948	30.31891482794753
Cell26	15.817133901725335	-4.288931611058377
Cell27	3.8752470987637047	14.068483090818766
Cell28	-19.652336221181503	-13.909458613092365
Cell29	16.93496253370845	-4.066763401283838
Cell30	19.193412190428692	-4.444213113445843
Cell31	-24.782039548174446	9.475540945871812
Cell32	29.76992911310804	-0.8964286375040817
Cell33	0.5608543035139493	29.648144129757746
Cell34	29.397701468174706	2.341268780764993
Cell35	2.2437424112660813	18.094728473270806
Cell36	-2.3574837738218397	25.59665638689782
Cell37	7.8863767108276015	-31.668698258659706
Cell38	-24.420499116019094	16.17339054073486
Cell39	16.678090443303788	-20.86483950619085
Cell40	3.3456942745430607	0.6343291651399405
Cell41	22.96332614691275	-14.920017156158814
Cell42	1.9285114656968256	17.726545311668723
Cell43	2.3830393859763754	-35.1410810417214
Cell44	23.400839150977966	13.837895526988126
Cell45	4.105775096933747	1.139002389925901
Cell46	-17.367500161137677	10.753993258040213
Cell47	10.717220273324807	-2.0033596884788225
Cell48	16.537709733646096	-20.380434376116444
Cell49	4.9665273535413705	26.408029612078806
Cell50	-16.858512796236337	14.112468678425435
Cell51	10.862451000674888	-1.7124549210955762
Cell52	2.5125757659288244	-1.639851368278702
Cell53	23.424288789914225	19.544889765477404
Cell54	-1.5534102253531097	-9.481183104574686
Cell55	-17.970539790166825	16.628382892997042
Cell56	3.2785768652993252	0.9470344260623534
Cell57	22.34542361484215	20.28760396783903
Cell58	-24.798218037592132	-16.224699347420547
Cell59	16.149568809351507	-20.920135956134292
Cell60	-0.8581393345634942	18.665468413883442
Cell61	-23.76939486667033	-14.640027941130818
Cell62	-20.919332469323844	-10.777081902240237
Cell63	25.38635562133698	9.939953963375906
Cell64	-16.271641936653925	-2.7662001115048978
Cell65	29.415045656468582	-0.8142152619413029
Cell66	28.170180457363443	2.302196627034834
Cell67	21.38842580453253	-14.396210229731192
Cell68	2.70550007099048	-35.05022596480631
Cell69	-0.2847011117655978	31.938262641305162
Cell70	25.380322484305434	15.647202189524904
Cell71	16.95713579261204	-3.99724333662625
Cell72	31.100966660169842	1.3655830519405558
Cell73	-20.369343557172204	-8.24646968315457
Cell74	-24.291415107828055	-18.374964043115135
Cell75	-26.907409275361616	-15.82067717917454
Cell76	2.76724733808455	-1.5835400647218767
Cell77	23.562685794677446	4.718527487596788
Cell78	8.617039273692134	-23.12798966978522
Cell79	25.637677268687302	17.29502206359365
Cell80	-24.985207804111184	-12.227299976416516
Cell81	1.6380052969535437	-8.32476211525858
Cell82	20.797363180546625	10.722688377632716
Cell83	-27.6388917223411	9.957400163316695
Cell84	24.869942560054728	12.955641012849425
Cell85	2.285082359226598	25.65252957824046
Cell86	-20.37846475515597	-16.67386590838671
Cell87	29.178611415458604	4.862584036338125
Cell88	-22.000774579779485	-19.873867091705947
Cell89	16.43484241961919	-20.609790411508726
Cell90	-25.46573475922677	-18.306801465105064
Cell91	-20.482252346538278	18.653758306620308
Cell92	-20.557430322438766	17.84192137949064
Cell93	-24.802752977054464	-19.085558972787254
Cell94	10.389039959223943	-21.46492371673448
Cell95	4.567778838333799	-24.906633549825088
Cell96	1.6277451728921788	25.608474732462902
Cell97	-23.364049230648984	-13.992077789660993
Cell98	26.829707229174428	10.766528719135266
Cell99	-18.820587921533342	-13.046458397991316
Cell100	-23.23386862555875	16.778795138932775
